operator_alias,Alias
7S Oil and Gas LLC,7S Oil
Abraxas,AXAS
ABRAXAS PETROLEUM,AXAS
Accelerate Resources Holdings LLC,ACCELEREATE
Admiral Permian Resources LLC,ADMIRAL PERMIAN
Advance Energy Partners LLC,AEP
Adventure Exploration Partners III LLC,ADVENTURE
ADVENTURE OPERATING,ADVENTURE
Aghorn Oil & Gas Inc,AGHORN
AJAX ENERGY,AJAX
Ajax Resources LLC,AJAX
Amazing Energy Oil and Gas Co,AMAZING ENERGY
Ameredev II LLC,AMEREDEV
ANADARKO,APC
Anadarko,APC
Antares Energy Ltd,ANTARES
Anthem Oil and Gas Inc,ANTHEM OIL
ANTLE OPERATING,ANTLE
APACHE,APA
Apache,APA
APC WATER HOLDINGS 1,APC
APPROACH OPERATING,AREX
Approach Resources Inc,AREX
Arabella Exploration Inc,ARABELLA
ARES ENERGY,ARES
Ares Energy Ltd,ARES
Arkoma Drilling LP,ARKOMA
Artifex Energy Inc,ARTIFEX
ASCENT ENERGY,ASCENT
Atlantic Exchange Properties LLC,ATLANTIC
ATLANTIC EXPLORATION,ATLANTIC
Atlantic Resources Company,ATLANTIC
ATMOS ENERGY CORP  MID-TEX DIV,ATMOS
ATMOS PIPELINE - TEXAS,ATMOS
ATOKA OPERATING,ATOKA
ATOKA OPERATING PERMIAN,ATOKA
ATROPOS PRODUCTION,ATROPOS
Aurora Energy Partners LLC,AURORA ENERGY
AVAD Energy Partners LLC,AVAD ENERGY
Axia Energy II LLC,AXIA ENERGY
BANNER OPERATING,BANNER
Banner Resources LLC,BANNER
Basin Oil & Gas,BASIN OIL
BASIN OPERATING,BASIN
Bayou City Energy LP,BAYOU CITY
Bayport International Holdings Inc,BAYPORT INTERNATIONAL
Beacon E&P Company II,BEACON
BEACON E&P RESOURCES,BEACON
BHP BILLITON,BHP
BHP Billiton,BHP
Big Hatchet LLC,BIG HATCHET
Black Mountain Oil & Gas II LLC,BLACK MOUNTAIN
BLACK RIVER WATER MGMT,BLACK RIVER
Black Stone Minerals Company LP,BLACK STONE
BLACKBEARD OPERATING,BLACKBEARD
Blackbeard Operating LLC,BLACKBEARD
Blacksands Petroleum Inc,BLACKSANDS PETROLEUM
BlueStone Natural Resources II LLC,BLUESTONE NATURAL
Boaz Energy II LLC,BOAZ ENERGY
BOLD OPERATING,BOLD
BORDERLINE OPERATING,BORDERLINE
BOYD&MCWILLIAMS ENERGY GROUP,BOYD
Breitling Energy Corp,BREITLING ENERGY
Bristlecone Energy Partners LLC,BRISTLECONE ENERGY
Bro Energy LLC,BRO ENERGY
BTA OIL,BTA
BTA Oil Producers LLC,BTA
BULLET DEVELOPMENT,BULLET
Burleson Petroleum Inc,BURLESON PETROLEUM
C&L OIL,C&L
Callaghan 320 Trust,CALLAGHAN 320 TRUST
CALLAN OPERATING,CALLAN
Callon,CPE
CALLON PETROLEUM,CPE
CAMBRIAN MANAGEMENT,CAMBRIAN
Canela Petro LP,CANELA PETRO
CAPITAN ENERGY,CAPITAN
Capitan Energy Corp,CAPITAN
CAPSTONE NATURAL RESOURCES,CAPSTONE
Capstone Natural Resources II LLC,CAPSTONE NATURAL
Carnes Natural Gas Ltd,CARNES NATURAL
Carrera Energy LLC,CARRERA ENERGY
Carrier Energy Partners II LLC,CARRIER ENERGY
Carrizo,CRZO
CARRIZO (PERMIAN),CRZO
Castell Oil Co,CASTELL OIL
Caza Oil & Gas Inc,CAZA OIL
Centennial Resource Development Inc,CDEV
CENTENNIAL RESOURCE PROD,CDEV
CEP Minerals LLC,CEP MINERALS
Charger Shale Oil Co LLC,CHARGER SHALE
Chase Oil Corp,CHASE OIL
CHEVRON,CVX
Chevron,CVX
Chi Partners LLC,CHI PARTNERS
Chisholm Energy Holdings LLC,CHISHOLM
CHISHOLM ENERGY OPERATING,CHISHOLM
"CHISHOLM ENERGY OPERATING, LLC",CHISHOLM
CHOLLA PETROLEUM,CHOLLA
Cholla Petroleum Inc,CHOLLA
CIMAREX,XEC
Cimarex,XEC
CINNABAR OPERATING,CINNABAR
Citation Oil & Gas Corp,CITATION OIL
Clear Creek E&P LLC,CLEAR CREEK
Clearfork Resources LLC,CLEARFORK RESOURCES
COG PETROLEUM,CXO
Colgate Energy LLC,COLGATE ENERGY
Common Resources III LLC,COMMON RESOURCES
CONCHO O&G,CXO
Concho Resources Inc,CONCHO RESOURCES
CONOCOPHILLIPS,COP
ConocoPhillips,COP
Conquistador Exploration Inc,CONQUISTADOR EXPLORATION
Contango,CONTANGO
Cooper Oil & Gas LLC,COOPER OIL
Corlena Oil Company III LLC,CORLENA OIL
Cosmo Energy LLC,COSMO ENERGY
COVENANT OPERATING,COVENANT
CPI OPERATING,CPI
CPP WI Holding Co LLC,CPP WI
CRAIG BOB,CRAIG BOB
Cross Timbers Energy LLC,CROSS TIMBERS
Crossing Rocks Energy LLC,CROSSING ROCKS
Crown Oil Partners V LP,CROWN OIL
CROWNQUEST OPERATING,CROWNQUEST
CrownRock LP,CROWNROCK LP
Crump Energy Partners II LLC,CRUMP ENERGY
CUSTER&WRIGHT OPERATING,CUSTER&WRIGHT
CXA Oil & Gas Holdings LP,CXA OIL
DEEP GULLY OIL,DEEP GULLY
Delaware Basin Resources LLC,DELAWARE BASIN
Development Capital Resources LP,DEVELOPMENT CAPITAL
DEVON,DVN
Devon Energy,DVN
DIAMONDBACK E&P,FANG
Diamondback Energy,FANG
DISCOVERY NATURAL RESOURCES,DISCOVERY
Discovery Natural Resources LLC,DISCOVERY
Discovery Operating Inc,DISCOVERY OPERATING
"Dorchester Minerals, L.P. (fka D. Hugoton)",DORCHESTER MINERALS
Double Eagle Energy Holdings III LLC,DOUBLE EAGLE
DRAKE PETR,DRAKE
Driftwood Energy Partners LLC,DRIFTWOOD ENERGY
DRY FORK PRODUCTION,DRY FORK
EAGLE HYDROCARBONS,EAGLE HYD
Eagle Oil & Gas Co,EAGLE OIL
Eagle Permian Partners LLC,EAGLE PERMIAN
EAGLERIDGE OPERATING,EAGLERIDGE
Earthstone Energy Inc,ESTE
El Dorado Resources LLC,EL DORADO
Element Petroleum III,ELEMENT PETROLEUM
ELEVATION RESOURCES,ELEVATION
Elevation Resources LLC,ELEVATION RESOURCES
Elite Group LLC,ELITE GROUP
Elk Meadows Resources LLC,ELK MEADOWS
ELK RIVER RESOURCES,ELK RIVER
Elk River Resources LLC,ELK RIVER
ENCANA,ECA
EnCana,ECA
EnCore Permian Holdings LP,ENCORE PERMIAN
ENDEAVOR ENERGY RESOURCES,ENDEAVOR
Endeavor Energy Resources LP,ENDEAVOR
Enduro Resource Partners LLC,ENDURO RESOURCE
ENERGEN,EGN
Energen,EGN
Energy Hunter Resources Inc,ENERGY HUNTER
ENERVEST,ENERVEST
EnerVest Management Partners,ENERVEST
ENI,ENI
ENVIRONMENTAL DISPOSAL SYSTEMS,ENVIRONMENTAL
EOG,EOG
EOG RESOURCES,EOG
EOG Y RESOURCES,EOG
EP ENERGY,EPE
EP Energy Corp,EPE
Epic Permian Resources,EPIC PERMIAN
EQT Corporation,EQT
EXL PETROLEUM,EXL PET.
ExL Petroleum Management LLC,EXL PET.
ExxonMobil,XTO
Fairmount Energy,FAIRMOUNT ENERGY
FASKEN,FASKEN
